预约送货时间	能否安排晚点送货
感叹	omg
店铺活动	双十一有优惠吗
请求活动通知	如果有活动，有通知吗
退款关闭	退货已经早退了，为什么退款关闭了
补偿赔偿	我的30元补偿还没有收到哦
取消订单	帮忙把订单取消了
安装服务及费用	哪些地区是包安装
商品议价	现在拍下有便宜吗
修改邮费	修改运费
购物券退款	跨店购物券退款
红包未用	我有5元店铺红包没用
催促发货	我付了订金怎么没发货
催促退款	给我退钱
直播价格	直播间是这个价格吗
愤怒情绪	你们也太会赖了吧
投诉需求	对于你们,我会进行投诉
售后服务咨询	怎么申请售后，我不会
退换货物流	退款可以选择什么快递
补差价购买	能先买后补差吗因为过几天不在家了
商品议价	价格可以优惠吗
包装要求	包装精美点
价格变动	今天买怎么涨价了
领取红包	红包领完了吗
购买限制	 不可以拍2件 
无理由退换	所有商品都是七天无理由退换货吧
是否预售	没有现货么
商品挑选更换	2包可以选不同号的
如何评价	试用两天再评价吧
试用装咨询	有小样吗
优惠券未使用	我有一张优惠券没有用
不发要退货	不发货就赶紧让我退货
商品说明	三架马车都是什么
难过	心累
退款原因	退款原因写什么
放弃	那随便吧
如何评价	过两天再评价
重复付款	东西还没买，钱扣了我两次
会员信息查询	问可以帮我查下我的授信会员级别吗
填改退货单号	退货快递单号写错了请问哪里修改
丢件	 你帮我查一下快递，是不是给弄丢了 
联系快递	帮我查一下快递点的电话呢
退换货地址	我想问一下我退货需要寄什么地址啊
物流异常	 麻烦帮我查一下快递异常是什么原因 
否认	并没有啊
坏了	 我微波炉怎么就坏了 
是否免息	三期免息啥意思
无法分期付款	不能尾款分期啊
商品价格	請問價格是148嗎
物流异常	怎么显示包裹异常 
不喜欢不合适	 现在不能穿了,太紧了 
能否直播价购买	这个拍下还能直播价格吗
优惠券退款	优惠券为什么退不回来
换购	现在可以加一个0.01元换购么
购买限制	 只能下单两本 
发送截图	我给你发个截图吧
修改发票	 已经发货还能改抬头吗 
运费险理赔	运费险怎么返还
赠品缺失	没收到送的礼品
索要补发信息	昨天说的给我补发 
查询物流	这个商品在哪
发送截图	详情截图我全部发你了
是否预售	这款是现货吗
丢件	 货丢了，根本没收到，显示签到了 
货到付款	 我没有支付宝可以货到付款吗？ 
何时上货	预定要多久有货
规格尺寸区别	两本装跟6本装有什么区别吗
试用装咨询	试用装链接呢
不发要退货	因为长久不发货，我要申请退款
我要买	我买很多件呢
退款成功	我产品没有退回就显示退款成功了
催促退款	已经提交退款申请了，麻烦老板同意一下哈
赠品属性咨询	这个送的企鹅杯可以装多少水
请求活动通知	下次有搞活动发信息告诉我
货已退回	货已经给你们发过去了
换购	支持换购么
无法下单	为什么拍不了
商品挑选更换	亲,颜色是自己选吗
描述不符	 和照片不一样 
延长收货时间	 延长收货五天 
保密发货	发货单请你不要写多少钱
如何评价	那我去评价好了
购物券使用	购物券可以跨店使用吗
联系快递	怎样才能联系你们派送员啊
付款失败	我这个订单下午没有付款成功
赠品质量问题	赠送的商品无法使用
配件套件单买	能在你这买配件吗
描述不符	你家商品与图片大小严重不符 
愤怒情绪	恶心死了
红包未收到	红包没收到啊
适用人群	女孩子用这个可以吗
货已拒收	算了我直接拒收
物流无更新	物流怎么不动了
能否降低活动门槛	398了帮我省80行不，就差一元钱了
搭配推荐	这搭配套装哪里买
保修卡咨询	说收到联系你给我保修卡
使用周期	这个一个用几个小时
购物券退款	请问店铺可以退购物券的金额给我吗
是否预售	预售什么意思
直播领券	直播间优惠券哪里领
领取购物券	有购物券（购物津贴）吗
帮忙	求助
延长收货时间	 没有延长收货按钮
加卡片	可以写个小卡片吗
花呗额度	分期付款花呗不够怎么办
红包未收到	收藏红包在哪里
退货运费	退货可以到付吗
延迟下单	我明天再拍
质量情况	如何保证品质呢
已拍已付	我拍好了
查询物流	我的货寄到哪里
物流无更新	货没到就算了怎么还没更新
拍错商品	我发现东西多买了一样
无法分期付款	不能分期付款吗
退款成功	亲，我看退款成功
通常发货时间	马上能发货么
为何还有运费	 咋有邮费 
退货条件	不是正品能退货吗
填改退货单号	退货单号扫错了
购买限制	 一盒可以拍吗 
直播奖品	昨天直播间中奖的今天来登记
发货形式	是分开发货吗
活动时间	预售什么时候有啊
换货需求	如果要换货怎么弄
无理由退换	七天无理由退换货是怎么算时间呢
颜色推荐	买什么颜色的人多
直播购买指南	304直播间799的怎么拍到
购物券退款	退款购物券（购物津贴）会退回吗
规格尺寸区别	80ml和90粉喷区别在哪
拍错商品	我有的买错了
修改发票	 发票上购买方信息税号填错了
优惠券未使用	我忘用优惠券了还能用了吗
下单减价	 直接下单自动减 
售后服务咨询	这个售后怎么样
颜色区别	玫瑰两个色有什么区别
为何召回快递	为什么我的快递会被召回
保价咨询	保价怎么弄
购物券未收到	我充值送的购物券什么时候到账
退换货物流	退货用ems寄可以不
索要图片信息	你发点图片过来
领取红包	不是有红包吗
不要开票	 请不要开具发票，谢谢 
加单咨询	我还要补拍一件东西怎么弄
是否有货	纯黑没有41了吗
活动时间	你好什么时候促销啊
丢件	 我件丢了你们管不管 
发票缺失	没有开发票
无法分期付款	这个不能分期么
邮寄发票	都等了快半个月了，发票什么时候到啊 
能否活动价格购买	双十一的价格现在能提前买到吗
送货形式	 邮政送货上门吗 
要求延迟发货	不是说先不让你给我发货吗
修改邮费	一起买几样可以改不付运费吗
领取优惠券	我看到评论有优惠券领
拍错商品	我有一个多拍了
货票同行	 发票到时会一并收到吗 
凑单咨询	这款怎么凑单啊
邮寄发票	发票怎么寄过来啊
如何下单付款	我的意思是11号付款在哪里付
高危风险	对我人身安全都有威胁了
开票类型	可以开机打发票吗
使用及教学视频	发个视频教学
商品日期	保质期几年
是否免息	什么情况免息呢
延长收货时间	 那给我交易时间延长一下 
使用花呗	我的花呗额度够，为什么还是不能用花呗呢
不发要退货	明天还不发我就退货了
直播优惠	直播间有赠品是吧
重开发票	 发票开错了怎么办 
中奖名单	那个中奖名单能查吗
红包未收到	还没收到红包呀
修改收货信息	怎么修改订单的送货地址
发货形式	你们帮我寄了几个包裏
货到付款	 这个是货到付款还是先支付在送货呀 
返红包	怎么没有给我返红包
联系快递	赶紧叫快递联系我
修改发票	 我需要更改开票抬头 
会员申请	你们天猫超市有会员卡吗
催促换货操作	亲，麻烦同意一下换货
催促退款	请尽快退款
求回复	您说
显示有下单未付款交易	为什么显示有人没付款呢
能否活动价格购买	能先按优惠价卖我吗
货已退回	货已退回
换货条件	质量有问题，能换货吗
感叹	哇塞
退货条件	可以免费退货吗
发错地址	昨天我问了一次他发错地方了
未支付尾款	请问该单尾款没支付怎么办
售后服务咨询	售后服务怎么弄
没有效果	感觉没什么效果
抢不到	每次抢你们家东西都抢不到
红包未收到	没收到红包
安装异常	根本装不了
难过	哭唧唧
申请退款后发货	这个我点了退款怎么又发货来了
提醒发货检查	请检查仔细后发货谢谢
默认快递	请问一般发什么快递
无法拒收	现在拒收不了怎么办
领取优惠券	优惠券链接
修改退款信息	我已经申请退款了还可以改吗
优惠影响	我是加了一次购物车，重选就没有优惠了
开票内容	现在需要填发票单位吗
商品说明	维c是什么
已拍已付	我定了两单
宝贝为何原价	这个价格怎么还没有变
商品议价	现在买能优惠点吗
查询物流	知道东西具体到哪了吗
投诉需求	赶紧联系你找的快递，不然我要投诉
求加微信	能加老板微信吗
漏了	 亲有一个漏气了 
领取购物券	还有购物券吗
赠品	有什么赠品吗
通常到货时间	咱家如果发顺丰几天可以邮到
活动时间	还会不会搞活动
直播领券	求直播优惠券
否认	都不行
优惠券无法领	首页的优惠券不能领了
破损	 看到裂痕了吗 
开票类型	普通机打发票有不
退货运费	运费谁赔付
通常发货时间	明天能发货么
商品清单	里边都带什么东西
规格尺寸区别	90d比85d大多少
漏了	 只剩下大半瓶了
无物流记录	查询不到物流跟踪记录
售后维修网点	维修网点
无法拒收	不方便拒收
换货维修运费	那个维修的快递费怎么处理
领取优惠券	有优惠券吗
商品议价	大学生购买便宜吗
使用花呗	我想花呗买这个
开票类型	我选择的是纸质发票
重拍商品	怎么重拍
红包退款	退了再买可以吗，红包还退吗
功效功能	亲这个有什么功效啊
直播购买指南	直播间这个是直接拍吗
求等	等我一会会
加单咨询	还没发货我想追加一样到原订单，能免运费
赠品发货咨询	赠品什么时候发
加单咨询	我还要加一件货
购物券未收到	送的购物券（购物津贴）没收到
赠送运费险	我看上面标的赠送运费险
花呗还款	怎么查看分期账单
催促快递	快递一直不送货
宝贝为何原价	付款时又原价
搭配推荐	你好，这个配套商品是哪一个
去拍去付	妞儿，我准备下单了
换货需求	换成其它款的
发送截图	看了我发的图片么
商品单卖	有卖单瓶的吗
描述不符	 跟我买的时候看到的不一样 
颜色推荐	这个衣服哪个颜色卖的好
换货需求	我要换货，怎么换
换货需求	这件也需要换
提醒发货检查	发货时检查下质量问题
我要买	要买三台
秒杀	秒杀时间
运费险购买	能否购买运费险
赠品挑选更换	送的是随机嘛
赠品挑选更换	赠品选错了可以改吗
我要买	我现在要买东西
提醒发货检查	发货前检查好质量
赠品	现在预订还有礼物送吗
花呗期付	要利息和手续费吗
通常发货时间	我拍完了，今天能发货吗
退货注意事项	衣服包装那个纸箱不寄回去可以吗
预售退款	预售订单可以退款吗
催促快递	快递太慢
换货维修运费	换货是我们出邮费还是到付
运费险理赔	这样运费险快递赔多少呢
物流单号咨询	物流单号是哪个
定金无法支付	只能加入购物车不能付定金
未收到但显示已签收	我的货没收到，还显示签收了
重开发票	 为什么发票上与实际付款不相符 
购买渠道区别	商品和专柜的有什么区别
修改收货信息	帮我改下订单的姓名吧
退款原因	退款原因填什么呢
退换货物流	退货快递用什么
版本款型区别	这个男款与女款有差别吗
索要图片信息	有上身的效果图吗
索要说明书	收到货了有使用说明吗
赠品发货咨询	赠品什么时候寄过来
能否活动价格购买	可以提前享受活动吗
催促发货	怎么还没发货呢
直播优惠	这个水乳直播间今天有什么活动
能否下单付款	这个现在还不可以下单吗 
售后服务咨询	请问是退款还是补发
全国联保	联保是保修吗
红包未用	有五块红包忘记用了
发错商品	这不是质量问题但是你们发错货了
使用花呗	能不能一半花呗一半余额
要求召回快递	你们自己召回快递就行了的
联系快递	打快递电话关机了
全国联保	那怎么联保
交易关闭	交易關閉，但付款了！怎麼辦
显示有下单未付款交易	有买家未付款吗
换购	换购怎么换
催促发货	还能不能发货呢
退件查询	你们那边显示签收了
优惠券未使用	优惠券忘了用
返红包	什么时候可以返红包呢
索要重发信息	 鞋子寄回来了嘛 
指定快递	这不是不想用EMS
开票时间	 补开发票最晚可以多久补开 
开票时间	发票什么时候给开
索要换货信息	我换货的发货了吗
领取红包	你好我先问问新人红包在哪里领
未收到货	这个快递我没收到
交易关闭	交易付款后马上显示交易关闭是怎么回事
安装教程	有安装说明吗
货已收到	东西已经拿到啦
物流单号咨询	我不知道物流单号
中奖名单	预售半价名单什么时候出来
默认快递	默认的是什么快递
商品日期	产品日期和保质期是什么时候的
催促快递	17天了我的货还不到
门店信息	门店电话有的吗
直播价格	看直播到手价多少呢
退款去向	到时退款打到我这个账号吗
退差价咨询	可以退差价吗
取消退款	我申请退款能取消吗
修改收货信息	还没付款要修改订单地址
无法申请退款	现在申请退款，申请不了
申请退款后发货	有没有搞错，已经按退款还发货
门店信息	官方旗舰店在哪里
红包使用	双十一红包怎么用
购物券退款	订单取消，购物券能退吗
催促快递	怎么物流速度这么慢
物流单号咨询	物流单号多少
安装网点	可以去哪里安装
请求活动通知	嗯活动能提前通知吗
退款关闭	显示退款关闭，不能退货了啊
难过	哭哭
发售咨询	双十一开售
如何下单选购	 买一送一是直接拍两个吗还是直接送 
邮费咨询	 请问有运费吗 
订单信息查询	帮我看下我拍的是对的吗
购物券使用	这款双11可以用购物卷抵制价格吗
物流单号咨询	看不到物流单号
谅解	做生意不容易
付款失败	为什么付款失败呢
通常到货时间	这个到内蒙一般几天
包装要求	请注意包装一定包好送人的
抢不到	你这优惠卷怎么抢不到
默认快递	北京发什么快递啊
颜色推荐	什么颜色比较火呢
包装区别	联装和听装的区别
催促发货	就你这单没发了
店铺活动	有什么优惠
少件	其它都好就这一个少了
补偿赔偿	漏袋的补偿
发送截图	截图给你了
用法用量	有没有用的顺序
如何下单选购	 三送一拍三个还是直接拍四 
丢件	 物流问的怎么样了，东西丢了吗 
求等	马上回来
换货需求	帮我把眼影换成10号
确认收货时间	离自动确认收货还有多久
是否预售	你好我昨天下的订单是现货么
能否降低活动门槛	优惠券差一点能使用么
安装费用	远程费是安装费吗
使用花呗	无法花呗付款
到付运费	请问一下快递费到付是吗
辱骂语言	滚
预约安装	预约安装时间
包装方式	 这是混合装的吗
默认快递	下单寄什么快递
加卡片	你们可以帮忙写贺卡吗
提醒发货检查	检查好了再发货，别有质量问题
支持花呗	有没有其他办法可以分期
影响退换因素	剪吊牌了还能退吗
红包无法用	天猫超市红包用不了
购买渠道区别	和实体店一摸一样吗
指定快递	不要发某个快递
订单状态未同步	为什么已经付款，但订单显示“等待买家付款”
影响退换因素	防伪码刮开了还能退吗
优惠券如何用	优惠券可以在尾款使用吗
购物券使用	这个上面没写购物券怎么用啊
红包无法用	刚刚领了五块红包怎么用不了呢
退款原因	退款原因没有选择啊
退差价咨询	是收到后退差价
优惠叠加	购物券可以叠加吗
信用卡支付	使用海外信用卡付款可以吗
质量情况	质量怎么样呢
退款关闭	退款关闭什么意思
颜色推荐	哪一个颜色好一点
优惠券如何用	优惠券使用有效期
查询物流	这个不能查询物流
索要取件码	我没有取件码怎么取
能否多送	多送几片吧
安装异常	就是装不牢固
填改退货单号	我的退货快递单号写哪里
查询物流	这个货怎么了，到哪里了
要求召回快递	我拍的是要退款的，麻烦召回快递，我不要了
搭配推荐	N件N折里面有没有好看的搭配推荐
货已收到	我第二单已经收货了
返红包	一元购中奖直接支付宝返红包
物流单号咨询	这个有物流单号不
货已收到	其他东西都收到了
无理由退换	只能7天退换吗
如何下单付款	没有钱支付怎么付款
无法申请退款	无法提交退款
新旧款区别	普通款和升级款差别是什么
要求拒绝退款	请关闭我的退货申请
准备或者已经申请退款	拍错了，已申请退款
空包	为什么发的是空包裹呢
难过	555
合作推广	可以直播卖您的产品吗
小票	订单有小票吗
价格区别	有些价格差那么大有何区别呢
期待	期盼
新旧款区别	升级版和豪华版有什么不同
加不了购物车	怎么不能添加购物车
物流异常	 包裹异常是什么情况 
赠送运费险	是否赠送运费险
邮费咨询	 有运费的满多少能包邮 
索要图片信息	尺寸图片发过来给我看
包装要求	你发货的时候可不可以换个包装瓶
新旧款区别	升级款和普通款有什么不同
花呗额度	花呗额度不够是不是不能分期了
到付运费	顺丰到付多少钱
交易关闭	银行已扣款，但显示交易关闭
无法申请退款	显示交易成功,无法申请退款
直播购买指南	这个要怎么拍直播价呢
补偿赔偿	怎么补偿，那地方不应该有磨损
颜色区别	白色和粉色差别在那里
礼品包装	最小的有带手提袋的吗
退换货地址	退款同意了，地址在哪
补偿赔偿	我要你们全赔
包装要求	可换个盒子装吗
无法下单	怎么拍不起来
拍错商品	你好，我买错油了
帮忙	拜托了
填改退货单号	亲，我要改一下退货的快递单号，已寄回了
取消退款	我点错了，不小心申请退款了
会员信息查询	你们店铺的会员等级系统是不是重新更新了
为何拒收	产品已经退回为何拒收
未收到货	你们客服说发货了我没收到怎么回事
发票缺失	我付完款发现我没开发票
补邮费咨询	发顺丰补价多少钱
定金支付问题	这个能提前支付定金
补邮费咨询	发到江苏怎么补运费
活动奖品	奖品能换吗
购物券未收到	购物券哪里查
寄件范围	亲，你武汉送吧
保密发货	请问包装是保密的嘛
商品规格	亲这能放多重的东西
期待	好的期待吧
到付运费	我邮寄到付可以吗
补差价购买	比较着急要，可以补差价
保密发货	寄来的包装上不会注明孕妇装吧
优惠券无法领	满减优惠券领不了
礼品包装	有包装袋么
红包退款	退款了红包会退回来吗
索要图片信息	图片截过来
指定快递	转寄EMS可以吗
商品价格	售价多少钱
直播购买指南	直播狂欢价格怎么拍呢
未支付尾款	那天尾款忘记付了
如何下单选购	 买一送一是直接拍2免一吗 
显示签收	快递显示已经签收
重拍商品	我需要重新拍
加不了购物车	不能放购物车
要求召回快递	亲，我看到这个发货了，可以申请召回快递吗
到付运费	顺丰到付是**块吧
购买限制	 可以拍两次
补邮费咨询	顺丰差价多少
小票	需要提供收据
催促快递	我的件怎么还不来
难过	心情很糟
坏了	我两件东西坏了 
谅解	体谅你
使用周期	3盒一个疗程吗
是否有货	这个有货嘛
修改价格	你没改价嘛
为何召回快递	亲，货怎么帮我拦截了
货票同行	发票随机器寄出吗 
退款去向	退款怎么还没到账呢
定金支付问题	这个预售定金怎么付呀
商品材质	是全铜的吗
使用花呗	怎么不支持花呗
红包使用	支付尾款可以用红包吗
购物券未收到	收藏送购物券在哪里
搭配推荐	这商品的搭配的东西有嘛
赠送运费险	如果不合身有运费险吗
运费险购买	运费险怎么购买
索要说明书	可以发一份说明书给我吗
运费险购买	怎么看是否有买运费险
换货条件	这个衣服穿这不舒服能换码吗
定金无法支付	这款好像不能付定金
无物流记录	没有物流进度
优惠叠加	亲我有一张优惠券，购物券还能用吗
为何还有运费	 显示有邮费 
索要取件码	自提柜的我输入取件码，就显示已被取出
全国联保	不是联保吗
延长收货时间	 为什么没有延长收货的功能 
换货维修运费	维修的运费谁来负担
优惠券无法用	这款不能用券麽
开票时间	 能不能崔下你们财务，给我开发票快点
到手价咨询	这是两瓶到手价是[n3]吗
清洁保养	可以用开水消毒
修改订单信息	订单商品属性可以修改吗
是否正品	怕是假的
秒杀	秒杀每天几点开始
直播购买指南	怎么返直播价呢
功效功能	能不能控油
免定金咨询	亲，返定金是返多少
搭配推荐	这款商品下面配的是哪款
如何下单付款	怎么付款
延迟下单	恩过几天买
门店信息	没看到实体店联系方式啊
优惠叠加	优惠券可以叠加吗
发货形式	为什么不是一起发货
要求延迟发货	我要延迟发货
送货形式	 哦，可以预约送货上门吗
无物流记录	显示发货了，没有物流明细
空包	亲,这一包空的
安装教程	有安装视频吗
辱骂语言	垃圾商家
催促换货操作	为什么还不同意我的换货申请
红包未用	怎么我的11.11红包没用上啊
下单减价	 直接拍了就减 
物流揽件中	揽件两天了
修改收货信息	我要修改订单的收件地址
赠送运费险	你们不赠送运费险吗
安装服务及费用	谁给按装
拍错商品	我拍错东西了，落了一样
显示签收	已经显示签收很多天
未收到货	包裹没到怎么处理
空包	我刚收到是个空的
能否活动价格购买	现在下单可以提前优惠吗
联系快递	顺丰电话多少
安装教程	请问这个能自己安装吗
如何评价	我要评价
申请退款后发货	这个申请退款了还会发出来吗
包装要求	你好帮我换成约惠礼盒款下
优惠券无法用	领的优惠券怎么用不了
中奖名单	能不能帮我查下有没有中奖
主播推荐	薇娅推荐的是什么颜色
